Title,Authors,Year,Journal,DOI,Citations,URL,License,Query
A survey of the opportunities and challenges of supervised machine learning in maritime risk analysis,"Rawson, Brito",2023,Transport Reviews,10.1080/01441647.2022.2036864,73,https://doi.org/10.1080/01441647.2022.2036864,http://creativecommons.org/licenses/by-nc-nd/4.0/,"""maritime transport"" + ""reinforcement learning"" + PPO"
A Multi-AUV Maritime Target Search Method for Moving and Invisible Objects Based on Multi-Agent Deep Reinforcement Learning,"Wang, Wei, Jiang, Zhao, Wang, Qi",2022,Sensors,10.3390/s22218562,29,https://doi.org/10.3390/s22218562,https://creativecommons.org/licenses/by/4.0/,"""maritime logistics"" + ""reinforcement learning"" + PPO"
Optimizing Berth Allocation in Maritime Transportation with Quay Crane Setup Times Using Reinforcement Learning,"Dai, Li, Wang",2023,Journal of Marine Science and Engineering,10.3390/jmse11051025,21,https://doi.org/10.3390/jmse11051025,https://creativecommons.org/licenses/by/4.0/,"""berth allocation"" + ""reinforcement learning"" + PPO"
An Artificial-Immune-System-Based Algorithm Enhanced with Deep Reinforcement Learning for Solving Returnable Transport Item Problems,"Achamrah, Riane, Sahin, Limbourg",2022,Sustainability,10.3390/su14105805,14,https://doi.org/10.3390/su14105805,https://creativecommons.org/licenses/by/4.0/,"""maritime transport"" + ""reinforcement learning"" + PPO"
BoxStacker: Deep Reinforcement Learning for 3D Bin Packing Problem in Virtual Environment of Logistics Systems,"Murdivien, Um",2023,Sensors,10.3390/s23156928,13,https://doi.org/10.3390/s23156928,https://creativecommons.org/licenses/by/4.0/,"""maritime logistics"" + ""reinforcement learning"" + PPO"
A Deep Reinforcement Learning-Based Algorithm for Multi-Objective Agricultural Site Selection and Logistics Optimization Problem,"Liu, Zhang, Zhou, Dai, Qin",2024,Applied Sciences,10.3390/app14188479,9,https://doi.org/10.3390/app14188479,https://creativecommons.org/licenses/by/4.0/,"""maritime logistics"" + ""reinforcement learning"" + Proximal Policy Optimization"
Container Allocation in Cloud Environment Using Multi-Agent Deep Reinforcement Learning,"Danino, Ben-Shimol, Greenberg",2023,Electronics,10.3390/electronics12122614,9,https://doi.org/10.3390/electronics12122614,https://creativecommons.org/licenses/by/4.0/,"""vessel scheduling"" + ""reinforcement learning"" + Multi-Agent Reinforcement Learning"
Multiple Container Terminal Berth Allocation and Joint Operation Based on Dueling Double Deep Q-Network,"Li, Yang, Yang",2023,Journal of Marine Science and Engineering,10.3390/jmse11122240,8,https://doi.org/10.3390/jmse11122240,https://creativecommons.org/licenses/by/4.0/,"""berth allocation"" + ""reinforcement learning"" + Deep Q Network"
Strategic bidding in freight transport using deep reinforcement learning,van Heeswijk,2025,Annals of Operations Research,10.1007/s10479-022-04572-z,6,https://doi.org/10.1007/s10479-022-04572-z,https://creativecommons.org/licenses/by/4.0,"""maritime transport"" + ""reinforcement learning"" + PPO"
"Proximal Policy Optimization for Crowd Evacuation in Complex Environments—A Metaverse Approach at Krung Thep Aphiwat Central Terminal, Thailand","Chaudhary, Sinpan, Sasithong, Khichar, la-Aiddee, Leelawat, Parnianifard, Poomrittigul, Wuttisittikulkij",2024,IEEE Access,10.1109/access.2024.3515153,6,https://doi.org/10.1109/access.2024.3515153,https://creativecommons.org/licenses/by/4.0/legalcode,"""container terminal"" + ""reinforcement learning"" + Proximal Policy Optimization"
