timesteps,episode_return,episode_length,action_0_count,action_1_count,action_2_count,action_0_share,action_1_share,action_2_share
256,-31672.8,256,78,91,87,0.3046875,0.35546875,0.33984375
512,-31546.8,256,96,76,84,0.375,0.296875,0.328125
768,-27088.8,256,79,82,95,0.30859375,0.3203125,0.37109375
1024,-30162.0,256,89,87,80,0.34765625,0.33984375,0.3125
1280,-30884.4,256,74,88,94,0.2890625,0.34375,0.3671875
1536,-29029.2,256,95,82,79,0.37109375,0.3203125,0.30859375
1792,-28572.0,256,82,87,87,0.3203125,0.33984375,0.33984375
2048,-32124.0,256,92,88,76,0.359375,0.34375,0.296875
2304,-25928.4,256,86,78,92,0.3359375,0.3046875,0.359375
2560,-31732.8,256,98,85,73,0.3828125,0.33203125,0.28515625
2816,-25890.0,256,79,89,88,0.30859375,0.34765625,0.34375
3072,-29108.4,256,79,91,86,0.30859375,0.35546875,0.3359375
3328,-27898.8,256,90,80,86,0.3515625,0.3125,0.3359375
3584,-31240.8,256,86,77,93,0.3359375,0.30078125,0.36328125
3840,-28317.6,256,82,94,80,0.3203125,0.3671875,0.3125
4096,-32065.2,256,86,89,81,0.3359375,0.34765625,0.31640625
4352,-29258.4,256,92,82,82,0.359375,0.3203125,0.3203125
4608,-30627.6,256,91,82,83,0.35546875,0.3203125,0.32421875
4864,-26907.6,256,97,73,86,0.37890625,0.28515625,0.3359375
5120,-27712.8,256,80,87,89,0.3125,0.33984375,0.34765625
5376,-29660.4,256,85,86,85,0.33203125,0.3359375,0.33203125
5632,-31587.6,256,86,75,95,0.3359375,0.29296875,0.37109375
5888,-29305.2,256,78,89,89,0.3046875,0.34765625,0.34765625
6144,-26524.8,256,82,65,109,0.3203125,0.25390625,0.42578125
6400,-29217.6,256,93,73,90,0.36328125,0.28515625,0.3515625
6656,-32838.0,256,94,56,106,0.3671875,0.21875,0.4140625
6912,-29707.2,256,91,74,91,0.35546875,0.2890625,0.35546875
7168,-30540.0,256,77,80,99,0.30078125,0.3125,0.38671875
7424,-28167.6,256,61,80,115,0.23828125,0.3125,0.44921875
7680,-27518.4,256,86,74,96,0.3359375,0.2890625,0.375
7936,-28588.8,256,75,73,108,0.29296875,0.28515625,0.421875
8192,-26786.4,256,69,86,101,0.26953125,0.3359375,0.39453125
8448,-29227.2,256,88,76,92,0.34375,0.296875,0.359375
8704,-29799.6,256,68,86,102,0.265625,0.3359375,0.3984375
8960,-28728.0,256,76,74,106,0.296875,0.2890625,0.4140625
9216,-30385.2,256,66,64,126,0.2578125,0.25,0.4921875
9472,-29198.4,256,79,75,102,0.30859375,0.29296875,0.3984375
9728,-29464.8,256,67,63,126,0.26171875,0.24609375,0.4921875
9984,-25064.4,256,75,66,115,0.29296875,0.2578125,0.44921875
10240,-30886.8,256,69,87,100,0.26953125,0.33984375,0.390625
10496,-28118.4,256,71,78,107,0.27734375,0.3046875,0.41796875
10752,-28597.2,256,72,90,94,0.28125,0.3515625,0.3671875
