timesteps,mean_step_reward,std_step_reward,min_step_reward,max_step_reward,action_0_count,action_1_count,action_2_count
16384,-115.77817376714665,129.9740550635379,-696.0,-0.0,5501,5469,5414
32768,-115.52651355764829,130.60705991814874,-696.0,-0.0,5375,5315,5694
49152,-114.53137196740136,128.3605728717717,-696.0,-0.0,5327,5437,5620
65536,-114.35082999244332,128.74450321480933,-696.0,-0.0,5355,5333,5696
81920,-113.24860834458377,126.50347721499693,-696.0,-0.0,5131,5405,5848
98304,-114.4004149090033,127.10450996950324,-696.0,-0.0,5052,5373,5959
114688,-113.91943354555406,127.1107248193773,-696.0,-0.0,4976,5457,5951
131072,-114.03493642597459,128.36507982788683,-696.0,-0.0,4977,5328,6079
147456,-115.23420404025819,128.12395755021214,-696.0,-0.0,4892,5357,6135
163840,-112.20571278082207,127.25095887321984,-696.0,-0.0,4787,5328,6269
180224,-112.6794432689203,125.77332409227493,-696.0,-0.0,4638,5382,6364
196608,-112.53933095186949,125.21604559342323,-696.0,-0.0,4582,5319,6483
212992,-112.17077624623198,125.22990985651477,-696.0,-0.0,4563,5272,6549
229376,-113.52795399376191,128.37555748310078,-696.0,-0.0,4551,5262,6571
245760,-112.06867662037257,126.54063577466691,-696.0,-0.0,4436,5182,6766
262144,-112.62736802431755,126.10400099833257,-696.0,-0.0,4262,5139,6983
278528,-111.34797349455766,125.66964334930599,-696.0,-0.0,4211,5184,6989
294912,-112.91147445642855,127.29565817500587,-696.0,-0.0,4167,5080,7137
311296,-111.57473131187726,127.17093075408114,-696.0,-0.0,4065,5081,7238
